"ids","names","popularity","followers","genres","first_release","last_release","num_releases","num_tracks","monthly_listeners","fuente","log_followers","log_monthly_listeners","z_monthly_listeners","z_followers","z_popularity","indice_demanda_digital","nivel_demanda_digital"
"6X9Dt3dsZDeWzMBfekaoPB","21 lil harold",46,23062,"atl trap",2020,2024,16,6,674286,"base_featured",4.36291579899959,5.82884478672293,0.960273307284901,0.404495867451244,0.883309173442516,0.749359449392887,"demanda_media"
"1URnnhqYAYcrqrcwql10ft","21 savage",87,18356551,"atl hip hop, hip hop, rap",2016,2024,20,1,56309358,"base_featured",7.2637911088913,7.75058058355931,2.15304229098545,2.6214805868809,2.78316531196442,2.51922939661026,"demanda_alta"
"4Euia7UzdRshy1DJOSMTcs","220 kid",54,24811,"uk dance",2022,2024,20,1,3001124,"base_featured",4.39466177249293,6.47728408462168,1.36274188991705,0.428757626616883,1.25401281022728,1.01517077558707,"demanda_media"
"4JhbRL6zaItAyzqx4gHTqz","22gz",56,495270,"brooklyn drill, nyc rap",2019,2024,20,1,2049028,"base_featured",5.69484289913389,6.31154810503411,1.25987408870279,1.42241691297947,1.34668871942347,1.34299324036858,"demanda_media"
"0ROLbpYHvwZWVbPBibRwPU","22nd jim",41,18480,"cali rap",2019,2024,20,1,313995,"base_featured",4.26672546703192,5.49692411562419,0.754259201606384,0.330982712507276,0.65161940045204,0.5789537715219,"demanda_media"
"6fWVd57NKTalqvmjRd2t8Z","24kgoldn",67,2203491,"cali rap, pop rap",2019,2024,20,1,14418843,"base_featured",6.34311147809887,7.15893044314723,1.78582118918397,1.91785411041812,1.85640622000252,1.85336050653487,"demanda_alta"
"0LVDX2sdKpfXwVmy52HLAc","25",43,7426,"swedish hip hop, swedish trap pop",2022,2024,7,1,282989,"base_featured",3.8708134239156,5.45177108915838,0.726233949864033,0.0284081941079218,0.744295309648231,0.499645817873395,"demanda_media"
"72NhFAGG5Pt91VbheJeEPG","2hollis",42,27633,"glitchcore, hyperpop",2021,2024,13,1,123673,"base_featured",4.44144375325506,5.09227840744343,0.503106649366839,0.464510606464251,0.697957355050135,0.555191536960408,"demanda_media"
"0gQ38ZwplqsXARPDmNIL9c","2m",40,20597,"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap pop",2020,2024,14,1,112057,"base_featured",4.31382505380939,5.04944286695615,0.476519797949808,0.366978421740641,0.605281445853945,0.482926555181465,"demanda_media"
"1ZwdS5xdxEREPySFridCfh","2pac",75,17684437,"g funk, gangster rap, hip hop, rap, west coast rap",1991,2023,20,1,22479467,"base_featured",7.24759126277237,7.35178602898785,1.90552139017038,2.60909990606352,2.22710985678728,2.24724371767372,"demanda_alta"
